Título,Fecha de Publicación,URL
"Las tecnológicas asturianas, a la cola en el uso de Inteligencia Artificial",2024-10-21 00:00:00,https://www.lavozdeasturias.es/noticia/asturias/2024/10/21/tecnologicas-asturianas-cola-uso-inteligencia-artificial/00031729521828408547333.htm
El Supremo anula una custodia compartida por conflicto extremo entre los progenitores,2024-10-22 00:00:00,https://www.lavozdeasturias.es/noticia/asturias/2024/10/22/supremo-anula-custodia-compartida-conflicto-extremo-progenitores/00031729614853194296592.htm
Las supervivientes dejan huella en Asturias: «Te sientes culpable por no poder salvar a quien querías; el peso de la culpa es terrible»,2024-10-19 00:00:00,https://www.lavozdeasturias.es/noticia/asturias/2024/10/19/supervivientes-dejan-huella-asturias-sientes-culpable-poder-salvar-querias-peso-culpa-terrible/00031729338027544676777.htm
Abren un crowdfunding para financiar los gastos judiciales de «Las 6 de La Suiza» bajo el grito de «hacer sindicalismo no es delito»,2024-10-22 00:00:00,https://www.lavozdeasturias.es/noticia/asturias/2024/10/22/abren-crowdfunding-financiar-gastos-judiciales-6-suiza-bajo-grito-sindicalismo-delito/00031729617408354671654.htm
La alerta de los sindicatos de ArcelorMittal: «Nos tememos que estamos ante el principio del fin de la siderurgia integral en Asturias»,2024-10-21 00:00:00,https://www.lavozdeasturias.es/noticia/asturias/2024/10/21/tememos-ante-principio-fin-siderurgia-integral-asturias/00031729531335529509558.htm
Preocupación en las familias asturianas por la escasez de medicamentos contra el TDAH: «Nadie nos da una explicación»,2024-10-21 00:00:00,https://www.lavozdeasturias.es/noticia/asturias/2024/10/21/preocupacion-familias-asturianas-escasez-medicamentos-contra-tdah/00031729540285462912889.htm
Hasta Asturias y mucho más allá,2024-10-21 00:00:00,https://www.lavozdeasturias.es/noticia/cultura/2024/10/21/asturias-alla/00031729526437058101343.htm
UGT y CCOO piden un pacto de estado para frenar las «dramáticas» cifras de siniestralidad laboral en Asturias,2024-10-22 00:00:00,https://www.lavozdeasturias.es/noticia/asturias/2024/10/22/ugt-ccoo-piden-pacto-estado-frenardramaticas-cifras-siniestralidad-laboral-asturias/00031729598057620618534.htm
El desafío de ser padre de una niña con TEL: «Mi hija es extranjera en su propia lengua y necesita un apoyo constante»,2024-10-23 00:00:00,https://www.lavozdeasturias.es/noticia/oviedo/voz-oviedo/2024/10/23/desafio-padre-nina-tel-hija-extranjera-propia-lengua-necesita-apoyo-constante/00031729668805670668453.htm
Las empresas asturianas pagan antes,2024-10-22 00:00:00,https://www.lavozdeasturias.es/noticia/asturias/2024/10/22/demora-pagar/00031729607561972177975.htm
