Título,Fecha de Publicación,URL
La princesa Leonor destaca el ejemplo de los pueblos de montaña para cuidar tradiciones e innovar,2024-10-26 00:00:00,https://www.lavozdeasturias.es/noticia/asturias/2024/10/26/princesa-leonor-destaca-ejemplo-pueblos-montana-cuidar-tradiciones-innovar/00031729949258213825557.htm
Sotres advierte de que está «en peligro de extinción»: «Necesitamos apoyo para seguir adelante»,2024-10-26 00:00:00,https://www.lavozdeasturias.es/noticia/asturias/2024/10/26/sotres-advierte-peligro-extincion-necesitamos-apoyo-seguir-adelante/00031729954855502203730.htm
Los espectaculares datos de empleo en Asturias en el último trimestre: los mejores de España,2024-10-25 00:00:00,https://www.lavozdeasturias.es/noticia/asturias/2024/10/25/espectaculares-datos-empleo-asturias-ultimo-trimestre-mejores-espana/00031729865403194450208.htm
Los vecinos de Ciudad Naranco denuncian un «agravio comparativo» respecto al centro: «Nos tienen abandonados»,2024-10-24 00:00:00,https://www.lavozdeasturias.es/noticia/oviedo/2024/10/24/vecinos-ciudad-naranco-denuncian-agravio-comparativo-respecto-centro-abandonados/00031729785855081902504.htm
La panadería de Oviedo que sigue entre las mejores de España: este es el secreto de su éxito,2024-10-25 00:00:00,https://www.lavozdeasturias.es/noticia/oviedo/voz-oviedo/2024/10/25/panaderia-oviedo-sigue-mejores-espana-secreto-exito/00031729837550634453914.htm
"De elegantes trajes a un jersey básico con vaqueros: todos los looks de la Reina Letizia, la princesa Leonor y la infanta Sofía en Asturias",2024-10-25 00:00:00,https://www.lavozdeasturias.es/album/asturias/2024/10/25/elegantes-trajes-jersey-basico-vaqueros-looks-reina-letizia-princesa-leonor-infanta-sofia-asturias/01101729853283878570618.htm
Todas las imágenes de la visita de los Reyes de España y sus hijas a Sotres,2024-10-26 00:00:00,https://www.lavozdeasturias.es/album/asturias/2024/10/26/imagenes-visita-reyes-espana-hijas-sotres/01101729946213968658366.htm
El Real Oviedo no es ni su sombra en Cádiz,2024-10-26 00:00:00,https://www.lavozdeasturias.es/noticia/azulcarbayon/2024/10/26/cronica/00031729955944741768286.htm
"Albés destaca a Olaetxea, estudia rotaciones y confirma la titularidad de Cote: «Tendrá su oportunidad, debe ser un líder en el Sporting»",2024-10-26 00:00:00,https://www.lavozdeasturias.es/noticia/sporting1905/2024/10/26/albes-destaca-olaetxea-estudia-rotaciones-confirma-titularidad-cote-tendra-oportunidad-debe-lider-sporting/00031729941210729730389.htm
Asturias aborda la redacción de la futura Ley de Participación,2024-10-26 00:00:00,https://www.lavozdeasturias.es/noticia/asturias/2024/10/26/asturiasaborda-redaccion-futura-ley-participacion/00031729945693987774576.htm
"Feijoo, en Oviedo: «Quiero una España que deje de ser noticia por la corrupción y la hipocresía»",2024-10-26 00:00:00,https://www.lavozdeasturias.es/noticia/oviedo/2024/10/26/feijoo-oviedoquiero-espana-deje-noticia-corrupcion-hipocresia/00031729938095652797304.htm
Cercanías de Asturias implantará desde el lunes el pago con tarjeta bancaria sin contacto,2024-10-25 00:00:00,https://www.lavozdeasturias.es/noticia/asturias/2024/10/25/cercanias-asturias-implantara-lunes-pago-tarjeta-bancaria-contacto/00031729856950275589773.htm
El otro Machado,2024-10-23 00:00:00,https://www.lavozdeasturias.es/noticia/opinion/2024/10/23/machado/00031729682080899573428.htm
Asturias destina 6 millones a fomentar la transformación digital de las empresas,2024-10-26 00:00:00,https://www.lavozdeasturias.es/noticia/asturias/2024/10/26/asturias-destina-6-millones-fomentar-transformacion-digital-empresas/00031729935417105898469.htm
8 años de inhabilitación y uno de prisión para el funcionario de la cárcel de Asturias que golpeó a un recluso en los testículos,2024-10-25 00:00:00,https://www.lavozdeasturias.es/noticia/asturias/2024/10/25/8-anos-inhabilitacion-prision-funcionario-carcel-asturias-golpeo-recluso-testiculos/00031729854552137791682.htm
Casi 11.000 tapas vendidas durante la semana nanogastronómica de Avilés,2024-10-25 00:00:00,https://www.lavozdeasturias.es/noticia/aviles/2024/10/25/11000-tapas-vendidas-durante-semanananogastronomica-aviles/00031729860029479648375.htm
Jesús Reyes: «Las tres mujeres de la Familia Real reflejan muchísimo los gustos de la sociedad»,2024-10-26 00:00:00,https://www.lavozdeasturias.es/noticia/oviedo/voz-oviedo/2024/10/26/jesus-reyes-tres-mujeres-familia-real-reflejan-muchisimo-gustos-sociedad/00031729936151738160922.htm
"El asturiano Cohete Suárez, primera medalla de oro para España en los FIA Motosport Games",2024-10-26 00:00:00,https://www.lavozdeasturias.es/noticia/deportes/2024/10/26/asturiano-cohete-suarezprimera-medalla-oro-espana-fia-motosport-games/00031729928551227651685.htm
